sample	samples	SH3PXD2B	CTTN	WASL	GRB2	SRC	CD2AP	CAPZA1	sample_type
TCGA-WQ-A9G7-01	TCGA-WQ-A9G7-01	8.534	13.24	11.04	11.44	10.74	9.696	10.68	Primary Tumor
TCGA-FV-A3R2-01	TCGA-FV-A3R2-01	8.524	11.33	11.51	11.46	8.64	10.66	10.63	Primary Tumor
TCGA-CC-A9FS-01	TCGA-CC-A9FS-01	8.518	11.73	11.03	11.67	6.274	9.658	10.91	Primary Tumor
TCGA-NI-A8LF-01	TCGA-NI-A8LF-01	8.517	11.73	11.68	11.72	10.17	11.06	10.76	Primary Tumor
TCGA-DD-AACP-01	TCGA-DD-AACP-01	8.499	11.34	10.45	11.67	11.17	10.19	11.32	Primary Tumor
TCGA-CC-5262-01	TCGA-CC-5262-01	8.49	11.68	10.46	11.5	7.567	9.532	11.2	Primary Tumor
TCGA-ED-A4XI-01	TCGA-ED-A4XI-01	8.485	11.73	10.94	11.74	10.13	9.573	11.28	Primary Tumor
TCGA-DD-AAVZ-01	TCGA-DD-AAVZ-01	8.483	11.73	10.02	11.5	10.1	10.51	10.54	Primary Tumor
TCGA-CC-A7IE-01	TCGA-CC-A7IE-01	8.472	12.03	10.5	11.73	10.86	10.64	11.66	Primary Tumor
TCGA-DD-A3A8-01	TCGA-DD-A3A8-01	8.468	11.57	10.66	11.23	10.71	9.444	10.39	Primary Tumor
TCGA-DD-A116-01	TCGA-DD-A116-01	8.466	12.02	10.49	12.19	9.356	9.16	10.91	Primary Tumor
TCGA-XR-A8TG-01	TCGA-XR-A8TG-01	8.453	11.4	11.36	11.46	8.127	9.99	10.99	Primary Tumor
TCGA-CC-A5UC-01	TCGA-CC-A5UC-01	8.448	11.83	10.09	12.01	9.731	10.21	10.91	Primary Tumor
TCGA-BC-A216-01	TCGA-BC-A216-01	8.447	11.43	9.946	11.55	8.857	10.6	11.85	Primary Tumor
TCGA-DD-AAE6-01	TCGA-DD-AAE6-01	8.446	11.31	10.68	11.69	11.7	9.034	11.25	Primary Tumor
TCGA-BC-A8YO-01	TCGA-BC-A8YO-01	8.445	11.65	11.01	11.48	9.189	10.96	11.57	Primary Tumor
TCGA-DD-A73C-01	TCGA-DD-A73C-01	8.441	11.12	11.65	11.41	5.814	9.782	10.71	Primary Tumor
TCGA-DD-A11B-01	TCGA-DD-A11B-01	8.434	11.64	11.62	11.83	10.33	10.33	10.09	Primary Tumor
TCGA-ZS-A9CE-01	TCGA-ZS-A9CE-01	8.433	11.77	11.62	11.29	7.93	9.604	10.37	Primary Tumor
TCGA-ED-A7XO-01	TCGA-ED-A7XO-01	8.425	10.97	10.83	11.34	8.124	9.942	10.78	Primary Tumor
TCGA-GJ-A6C0-01	TCGA-GJ-A6C0-01	8.424	11.58	11.32	12.11	8.232	9.944	10.95	Primary Tumor
TCGA-DD-AAEK-01	TCGA-DD-AAEK-01	8.418	11.07	10.74	11.88	10.45	10.35	10.48	Primary Tumor
TCGA-DD-A1EF-01	TCGA-DD-A1EF-01	8.397	11.47	11.24	11.88	11.39	10.74	11.48	Primary Tumor
TCGA-DD-A1EC-01	TCGA-DD-A1EC-01	8.389	11.56	11.43	11.79	10.32	10.38	11.52	Primary Tumor
TCGA-LG-A6GG-01	TCGA-LG-A6GG-01	8.383	11.86	11.16	11.66	6.436	10.4	11.43	Primary Tumor
TCGA-DD-AADY-01	TCGA-DD-AADY-01	8.382	12.9	11.65	11.19	8.522	10.68	11.09	Primary Tumor
TCGA-2Y-A9H8-01	TCGA-2Y-A9H8-01	8.382	11.46	10.59	11.67	10.06	9.656	11.14	Primary Tumor
TCGA-UB-A7MC-01	TCGA-UB-A7MC-01	8.382	11.28	11.25	11.69	9.962	10.59	10.78	Primary Tumor
TCGA-DD-AAW2-01	TCGA-DD-AAW2-01	8.378	11.46	11.66	10.98	8.338	10.88	10.46	Primary Tumor
TCGA-BW-A5NQ-01	TCGA-BW-A5NQ-01	8.376	12.1	11.12	11.93	9.349	10.56	11.93	Primary Tumor
TCGA-DD-A4NF-01	TCGA-DD-A4NF-01	8.375	11.48	10.69	11.1	10.39	9.872	11.06	Primary Tumor
TCGA-UB-A7MB-01	TCGA-UB-A7MB-01	8.365	11.42	11.23	10.81	7.066	10.34	10.86	Primary Tumor
TCGA-BC-A3KG-01	TCGA-BC-A3KG-01	8.363	11.16	9.806	12.29	9.266	10.72	10.75	Primary Tumor
TCGA-DD-AACF-01	TCGA-DD-AACF-01	8.341	11.52	11.16	11.16	7.02	9.861	10.95	Primary Tumor
TCGA-MI-A75E-01	TCGA-MI-A75E-01	8.34	11.81	10.72	11.41	8.126	9.035	10.92	Primary Tumor
TCGA-FV-A495-01	TCGA-FV-A495-01	8.332	11.69	10.14	11.62	7.781	9.127	10.15	Primary Tumor
TCGA-FV-A2QQ-01	TCGA-FV-A2QQ-01	8.321	11.76	10.74	11.45	9.925	10.15	11.2	Primary Tumor
TCGA-RC-A7SF-01	TCGA-RC-A7SF-01	8.309	14.33	10.78	11.23	8.416	9.795	10.5	Primary Tumor
TCGA-2Y-A9H9-01	TCGA-2Y-A9H9-01	8.309	11.74	11.24	11.63	6.24	9.359	10.9	Primary Tumor
TCGA-EP-A3JL-01	TCGA-EP-A3JL-01	8.308	11.66	10.58	11.42	9.461	9.146	10.93	Primary Tumor
TCGA-G3-A5SJ-01	TCGA-G3-A5SJ-01	8.305	10.98	11.1	11.83	9.77	11.13	11.86	Primary Tumor
TCGA-DD-A1EE-01	TCGA-DD-A1EE-01	8.302	11.4	11.35	11.1	9.489	10.98	11.18	Primary Tumor
TCGA-DD-A11D-01	TCGA-DD-A11D-01	8.295	11.45	11.61	11.4	6.164	10.2	10.98	Primary Tumor
TCGA-BC-A10S-01	TCGA-BC-A10S-01	8.292	11.4	10.76	11.48	7.552	10.1	10.48	Primary Tumor
TCGA-5C-A9VG-01	TCGA-5C-A9VG-01	8.291	11.54	10.54	12.2	9.047	9.866	11.15	Primary Tumor
TCGA-G3-A25T-01	TCGA-G3-A25T-01	8.285	12.61	11.57	11.55	10.62	10.56	11	Primary Tumor
TCGA-KR-A7K8-01	TCGA-KR-A7K8-01	8.284	12.75	11.21	11.54	8.243	9.917	10.61	Primary Tumor
TCGA-DD-A4NK-01	TCGA-DD-A4NK-01	8.269	11.25	11.5	11.11	6.673	9.619	10.56	Primary Tumor
TCGA-DD-A39X-01	TCGA-DD-A39X-01	8.264	11.63	10.54	11.45	10.71	8.977	9.548	Primary Tumor
TCGA-BC-A217-01	TCGA-BC-A217-01	8.255	10.82	10.12	12.27	7.042	10.18	10.41	Primary Tumor
TCGA-KR-A7K0-01	TCGA-KR-A7K0-01	8.252	11.95	10.24	11.32	10.89	9.9	11.26	Primary Tumor
TCGA-MR-A520-01	TCGA-MR-A520-01	8.252	11.34	11.08	11.42	8.126	9.621	10.7	Primary Tumor
TCGA-G3-A6UC-01	TCGA-G3-A6UC-01	8.238	11.6	11.79	11.08	5.43	10.76	10.24	Primary Tumor
TCGA-DD-AADR-01	TCGA-DD-AADR-01	8.234	11.55	10.88	11.45	7.429	10.08	11.6	Primary Tumor
TCGA-QA-A7B7-01	TCGA-QA-A7B7-01	8.23	11.38	9.959	11.52	8.232	10.07	11.56	Primary Tumor
TCGA-DD-AACA-02	TCGA-DD-AACA-02	8.229	11.94	11.65	12.59	9.274	9.835	10.75	Recurrent Tumor
TCGA-DD-A1EC-11	TCGA-DD-A1EC-11	8.22	11.16	11.19	11.43	8.271	9.937	10.86	Solid Tissue Normal
TCGA-G3-AAV2-01	TCGA-G3-AAV2-01	8.216	12.3	10.46	11.21	9.469	8.546	10.52	Primary Tumor
TCGA-DD-AAE7-01	TCGA-DD-AAE7-01	8.215	11.35	10.61	11.42	7.093	9.669	10.92	Primary Tumor
TCGA-BC-A3KF-01	TCGA-BC-A3KF-01	8.211	11.88	11.98	11.62	9.304	10.34	10.96	Primary Tumor
TCGA-DD-AAVQ-01	TCGA-DD-AAVQ-01	8.206	11.96	10.41	11.92	9.679	10	10.69	Primary Tumor
TCGA-PD-A5DF-01	TCGA-PD-A5DF-01	8.204	11.93	11.08	11.97	9.949	10.17	11.17	Primary Tumor
TCGA-DD-A3A5-01	TCGA-DD-A3A5-01	8.204	11.47	10.78	11.44	5.626	9.172	10.23	Primary Tumor
TCGA-DD-AAVR-01	TCGA-DD-AAVR-01	8.203	11.66	10.95	11.39	10.08	9.833	11.59	Primary Tumor
TCGA-UB-A7ME-01	TCGA-UB-A7ME-01	8.202	13.03	10.49	11.62	9.79	10.19	11.19	Primary Tumor
TCGA-DD-A39W-01	TCGA-DD-A39W-01	8.199	11.17	11.24	11.36	12.13	9.746	11.19	Primary Tumor
TCGA-BC-A5W4-01	TCGA-BC-A5W4-01	8.194	11.8	10.87	11.09	5.962	8.374	10.82	Primary Tumor
TCGA-DD-AAEI-01	TCGA-DD-AAEI-01	8.194	11.72	11.6	11.39	7.292	9.002	10.79	Primary Tumor
TCGA-G3-A7M5-01	TCGA-G3-A7M5-01	8.193	11.35	11.21	11.5	8.994	9.353	9.861	Primary Tumor
TCGA-4R-AA8I-01	TCGA-4R-AA8I-01	8.191	11.76	10.7	11.73	7.755	10.72	11.16	Primary Tumor
TCGA-CC-A7IH-01	TCGA-CC-A7IH-01	8.189	11.06	10.91	11.26	7.588	10.51	10.64	Primary Tumor
TCGA-G3-AAV6-01	TCGA-G3-AAV6-01	8.185	11.17	11.26	12	11.32	9.945	10.1	Primary Tumor
TCGA-2Y-A9H4-01	TCGA-2Y-A9H4-01	8.184	11.92	10.7	11.36	6.433	9.878	10.57	Primary Tumor
TCGA-ED-A5KG-01	TCGA-ED-A5KG-01	8.182	10.89	10.51	12.08	10.05	10.77	11.78	Primary Tumor
TCGA-BD-A2L6-11	TCGA-BD-A2L6-11	8.177	11.01	10.6	12	10.12	9.687	11.41	Solid Tissue Normal
TCGA-DD-AAE1-01	TCGA-DD-AAE1-01	8.175	11.85	11.04	11.37	10.51	10.02	10.69	Primary Tumor
TCGA-DD-A4NQ-01	TCGA-DD-A4NQ-01	8.161	12.67	10.78	12.07	9.619	10.28	12.16	Primary Tumor
TCGA-DD-AAED-01	TCGA-DD-AAED-01	8.144	12.42	11.41	11.04	10.96	11.32	11.76	Primary Tumor
TCGA-EP-A12J-01	TCGA-EP-A12J-01	8.142	11.61	11.24	11.08	10.7	10.17	10.69	Primary Tumor
TCGA-DD-AACS-01	TCGA-DD-AACS-01	8.139	11.89	11.59	11.79	8.219	9.458	10.87	Primary Tumor
TCGA-DD-AADP-01	TCGA-DD-AADP-01	8.133	14.36	11.21	11.42	7.437	9.98	11.01	Primary Tumor
TCGA-G3-A3CI-01	TCGA-G3-A3CI-01	8.13	11.41	10.82	11.33	8.757	9.667	10.76	Primary Tumor
TCGA-DD-A73G-01	TCGA-DD-A73G-01	8.119	12.1	9.816	11.59	9.673	8.383	10.17	Primary Tumor
TCGA-DD-AACW-01	TCGA-DD-AACW-01	8.113	11.75	10.71	11.56	10.67	9.887	10.18	Primary Tumor
TCGA-G3-A25V-01	TCGA-G3-A25V-01	8.11	11.81	11.06	11.71	9.839	10.05	11.08	Primary Tumor
TCGA-DD-AACE-01	TCGA-DD-AACE-01	8.109	12.29	12.4	11.58	5.671	10.42	10.73	Primary Tumor
TCGA-FV-A23B-01	TCGA-FV-A23B-01	8.097	11.75	10.89	12.36	8.648	10.23	11.3	Primary Tumor
TCGA-G3-A7M7-01	TCGA-G3-A7M7-01	8.088	12.04	10.45	12.09	10.16	9.557	11.04	Primary Tumor
TCGA-KR-A7K7-01	TCGA-KR-A7K7-01	8.086	11.55	10.27	11.57	10.89	9.674	10.68	Primary Tumor
TCGA-DD-A4NE-01	TCGA-DD-A4NE-01	8.082	11.75	11.56	11	9.087	11.7	10.07	Primary Tumor
TCGA-DD-AACT-01	TCGA-DD-AACT-01	8.078	12.03	11.13	11.33	10.97	10.34	11.11	Primary Tumor
TCGA-FV-A23B-11	TCGA-FV-A23B-11	8.075	11.27	10.95	11.38	9.188	9.849	10.94	Solid Tissue Normal
TCGA-DD-A73A-01	TCGA-DD-A73A-01	8.071	11.87	10.77	11.68	8.273	10.51	11.23	Primary Tumor
TCGA-2Y-A9HB-01	TCGA-2Y-A9HB-01	8.066	11.77	10.54	11.1	6.919	9.82	11.16	Primary Tumor
TCGA-2Y-A9GU-01	TCGA-2Y-A9GU-01	8.061	11.19	11.22	11.43	8.556	9.567	10.14	Primary Tumor
TCGA-HP-A5N0-01	TCGA-HP-A5N0-01	8.058	11.46	10.98	11.32	7.385	10.94	10.59	Primary Tumor
TCGA-DD-AADU-01	TCGA-DD-AADU-01	8.052	11.71	10.09	11.58	9.751	8.742	10.85	Primary Tumor
TCGA-EP-A2KC-01	TCGA-EP-A2KC-01	8.047	11.91	11.23	12.02	8.717	10.52	10.8	Primary Tumor
TCGA-DD-A4NV-01	TCGA-DD-A4NV-01	8.047	11.77	11.97	11.16	8.08	9.401	10.56	Primary Tumor
TCGA-UB-AA0V-01	TCGA-UB-AA0V-01	8.042	11.36	10.98	11.3	8.826	10.28	10.83	Primary Tumor
TCGA-BC-A110-01	TCGA-BC-A110-01	8.035	11.48	10.73	11.36	8.89	9.716	10.81	Primary Tumor
TCGA-DD-AAVP-01	TCGA-DD-AAVP-01	8.033	11.65	9.799	11.3	11	9.138	10.84	Primary Tumor
TCGA-G3-AAV3-01	TCGA-G3-AAV3-01	8.023	11.9	10.59	11.7	10.62	9.551	11.18	Primary Tumor
TCGA-EP-A2KB-01	TCGA-EP-A2KB-01	8.022	11.61	10.59	11.76	10.65	10.17	10.57	Primary Tumor
TCGA-WQ-AB4B-01	TCGA-WQ-AB4B-01	8.006	11.83	10.8	10.78	8.275	9.755	10.88	Primary Tumor
TCGA-DD-AAVX-01	TCGA-DD-AAVX-01	7.998	11.62	10.79	11.26	7.054	10.03	10.91	Primary Tumor
TCGA-DD-AADG-01	TCGA-DD-AADG-01	7.991	11.71	11.5	11.87	9.398	9.829	10.48	Primary Tumor
TCGA-G3-AAV5-01	TCGA-G3-AAV5-01	7.974	12	10.73	11.66	8.685	9.492	10.94	Primary Tumor
TCGA-FV-A2QR-11	TCGA-FV-A2QR-11	7.966	11.63	10.71	11.48	9.471	9.899	11.17	Solid Tissue Normal
TCGA-ZP-A9CY-01	TCGA-ZP-A9CY-01	7.962	11.43	10.92	11.49	7.507	9.962	10.98	Primary Tumor
TCGA-2Y-A9GT-01	TCGA-2Y-A9GT-01	7.962	11.41	10.94	11.37	7.458	9.388	10.8	Primary Tumor
TCGA-DD-AAVY-01	TCGA-DD-AAVY-01	7.96	11.65	10.72	10.92	7.599	10.36	10.54	Primary Tumor
TCGA-K7-A5RG-01	TCGA-K7-A5RG-01	7.958	11.15	11.1	12.21	9.63	10.41	11.64	Primary Tumor
TCGA-DD-AAD6-01	TCGA-DD-AAD6-01	7.956	11.05	10.86	11.7	10.24	10.23	11.37	Primary Tumor
TCGA-2Y-A9H0-01	TCGA-2Y-A9H0-01	7.951	11.88	10.98	11.98	9.032	9.56	10.97	Primary Tumor
TCGA-G3-AAUZ-01	TCGA-G3-AAUZ-01	7.946	10.88	10.17	11.76	8.427	9.218	9.812	Primary Tumor
TCGA-ED-A82E-01	TCGA-ED-A82E-01	7.944	12.62	11.17	11.09	10.37	11.23	11.9	Primary Tumor
TCGA-DD-AAVU-01	TCGA-DD-AAVU-01	7.938	12.07	10.39	11.43	8.098	9.657	10.97	Primary Tumor
TCGA-DD-AAVV-01	TCGA-DD-AAVV-01	7.936	12	10.77	11.73	10.29	10.38	11.63	Primary Tumor
TCGA-ED-A7PY-01	TCGA-ED-A7PY-01	7.936	11.48	10.42	11.35	9.468	10.32	10.93	Primary Tumor
TCGA-DD-AAE3-01	TCGA-DD-AAE3-01	7.931	11.35	10.67	11.1	7.18	9.422	10.21	Primary Tumor
TCGA-BC-A10Y-11	TCGA-BC-A10Y-11	7.919	11.3	11.14	11.36	8.529	10.31	10.89	Solid Tissue Normal
TCGA-ED-A459-01	TCGA-ED-A459-01	7.915	11.91	11.71	11.61	11.02	10.14	11.83	Primary Tumor
TCGA-CC-A3MB-01	TCGA-CC-A3MB-01	7.914	11.63	11.71	11.79	10.08	11.18	10.67	Primary Tumor
TCGA-DD-AACG-01	TCGA-DD-AACG-01	7.913	11.4	10.43	11.46	8.794	10.7	10.93	Primary Tumor
TCGA-G3-A7M8-01	TCGA-G3-A7M8-01	7.913	11.17	10.44	11.37	11.01	8.935	10.66	Primary Tumor
TCGA-DD-A73F-01	TCGA-DD-A73F-01	7.911	11.44	9.63	11.61	8.185	9.043	11.18	Primary Tumor
TCGA-DD-A3A1-01	TCGA-DD-A3A1-01	7.895	12.25	10.31	12.35	9.225	9.486	11.15	Primary Tumor
TCGA-G3-A3CG-01	TCGA-G3-A3CG-01	7.89	11.95	11.26	11.12	6.896	9.989	11.06	Primary Tumor
TCGA-ED-A8O5-01	TCGA-ED-A8O5-01	7.887	11.4	11.43	11.31	10.98	12.17	11.65	Primary Tumor
TCGA-2Y-A9H3-01	TCGA-2Y-A9H3-01	7.879	11.35	10.41	11.84	9.537	9.15	10.15	Primary Tumor
TCGA-DD-AACQ-01	TCGA-DD-AACQ-01	7.878	12.3	10.61	11.67	9.479	9.635	10.75	Primary Tumor
TCGA-3K-AAZ8-01	TCGA-3K-AAZ8-01	7.876	11.58	10.7	11.41	5.709	10.08	10.51	Primary Tumor
TCGA-CC-A8HS-01	TCGA-CC-A8HS-01	7.871	11.97	10.45	11.68	10.3	10.22	11.64	Primary Tumor
TCGA-DD-A11B-11	TCGA-DD-A11B-11	7.871	11.42	11.08	11.47	9.385	9.802	10.58	Solid Tissue Normal
TCGA-2Y-A9H7-01	TCGA-2Y-A9H7-01	7.861	11.59	10.84	11.25	10.04	9.729	11.32	Primary Tumor
TCGA-LG-A9QD-01	TCGA-LG-A9QD-01	7.861	11.54	10.62	11.4	8.213	9.662	11.07	Primary Tumor
TCGA-FV-A2QR-01	TCGA-FV-A2QR-01	7.859	11.86	11.34	12.14	9.591	9.858	11.25	Primary Tumor
TCGA-BC-A10X-01	TCGA-BC-A10X-01	7.844	11.5	11.32	11.07	8.621	10.22	11.09	Primary Tumor
TCGA-DD-A3A9-01	TCGA-DD-A3A9-01	7.842	12.31	10.94	12.09	9.588	9.816	10.03	Primary Tumor
TCGA-DD-AACC-01	TCGA-DD-AACC-01	7.838	11.39	10.17	11.84	9.6	9.521	11.4	Primary Tumor
TCGA-EP-A26S-01	TCGA-EP-A26S-01	7.834	11.6	11.17	11.28	6.095	9.826	10.68	Primary Tumor
TCGA-DD-A119-01	TCGA-DD-A119-01	7.831	11.52	10.76	11.6	7.753	10.42	10.75	Primary Tumor
TCGA-G3-AAV7-01	TCGA-G3-AAV7-01	7.81	12.38	10.97	12.31	10.49	10.95	11.9	Primary Tumor
TCGA-DD-AAC9-01	TCGA-DD-AAC9-01	7.807	11.54	10.94	11.46	8.225	9.274	10.96	Primary Tumor
